UF,Code,State,Year,stategdp,population,health_insurance,hospitalbeds,icu,population65,doctors,gdp_pc,IMLEE,LSS,first_restriction,first_stringency_index,week_first_restriction,deaths_week13,cases_week13,first_death,first_1kcases,first_10cases_pc,first_100cases_pc,first_1death_pc,first_10death_pc,si2020,si2021,votes_left,votes_right,votes_null,share_votes_right,deaths2020,deaths2021,cases2020,cases2021,cases_pc2020,cases_pc2021,deaths_pc2020,deaths_pc2021
PR,41,PARANÁ,2015,258518119.624667,11163018.0,,24.7228605389106,2.82936464779438,8.24149884914635,14.3302622590321,23158.443319240996,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2016,254904519.517259,11242720.0,,24.3272096375964,2.88209093314906,8.71675181806538,14.7560550454091,22672.851366685198,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2017,257922232.85373,11320892.0,,24.1244238219623,2.89641077114659,9.089389775999983,15.3453608190972,22782.854288666473,,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2018,257682944.26005,11348937.0,,24.0101047936619,3.05887679172067,9.419384388158997,16.0871894874383,22705.469618877083,7.33,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2019,262042853.022571,11433957.0,11.291987542020667,23.9390002953483,3.11761419661336,9.48053241760486,16.6560156441612,22917.94984208625,6.71,,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,,,,,,,
PR,41,PARANÁ,2020,257487269.123921,11516840.0,,24.2281447573003,3.78699076019695,9.794353312193275,17.7647832796728,22357.4582197826,4.7,4.133306100217865,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,7974.0,,416566.0,,3643.2356707306144,,69.73963606824829,
PR,41,PARANÁ,2021,256725236.45715,11597484.0,,23.7523500786895,4.65668530634173,9.786605439593622,18.8645083134698,22136.287185837034,4.78,4.376524006320039,2020-03-16,30.56,12,2,133,12,17,18,25,20,29,53.661475409836065,46.58887671232876,1948790,4224416,422648,0.6404653589967273,,40895.0,,1598311.0,,13978.633993463505,,357.66270592061875
RJ,33,RIO DE JANEIRO,2000,309571940.208782,13933756.0,,,,,,22217.407869692997,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2001,312276808.60382,14558545.0,,,,,,21449.726507959414,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
RJ,33,RIO DE JANEIRO,2002,350143884.264495,14724475.0,,,,,,23779.719430709418,,,2020-03-13,51.85,11,13,558,12,14,15,20,16,20,48.74560109289617,27.69353424657534,2673386,5669059,1079067,0.6017143532800255,,,,,,,,
